Year,GDP-Per
1960,2264.95
1961,2246.08
1962,2274.43
1963,2380.32
1964,2561.64
1965,2777.18
1966,3055.29
1967,3226.38
1968,3473.24
1969,3776.16
1970,4135.82
1971,4535.39
1972,5106.74
1973,5858.33
1974,7056.71
1975,7536.52
1976,8838.95
1977,8949.11
1978,9154.43
1979,10077.5
1980,11208.2
1981,12379.04
1982,12527.31
1983,13477.1
1984,13930.47
1985,14170.12
1986,14521.18
1987,16377.69
1988,19012.57
1989,20794.68
1990,21525.86
1991,21846.79
1992,20950.33
1993,20186.8
1994,19997.62
1995,20679.63
1996,21296.97
1997,21901.56
1998,21024.59
1999,22315.25
2000,24271
2001,23822.1
2002,24256.02
2003,28301.86
2004,32145.54
2005,36383.66
2006,40504.04
2007,44660.08
2008,46710.25
2009,40874.88
2010,47560.67
2011,52223.86
2012,52670.34
2013,52638.12
2014,50960.84
2015,43594.19
2016,42314.06
2017,45129.63
2018,46539.18
2019,46352.87
2020,43537.84
2021,52496.84
2022,55509.39
2023,53431.19
